Ship,Class,Type,First commissioned,Fate,Country or organization,Displacement (tons)
Aaron Ward (DD-483),Gleaves,destroyer,04 March 1942,Sunk 7 April 1943,United States,"1,630"
Aaron Ward (DM-34),Robert H. Smith,minelayer destroyer,28 October 1944,"constructive loss 30 April 1945, scrapped 1946",United States,"2,200"
Abbot,Fletcher,destroyer,23 April 1943,"Decommissioned 1965, scrapped 1975",United States,"2,050"
Abdiel,Abdiel,minelayer,15 April 1941,Sunk 10 September 1943,Royal Navy,"2,650"
Abelia,Flower,corvette,03 February 1941,constructive loss 9 January 1944,Royal Navy,925
Abercrombie,Roberts,monitor,05 May 1943,Scrapped 1954,Royal Navy,"8,536"
Abercrombie,John C. Butler,destroyer escort,01 May 1944,"Decommissioned 1946, sunk as target 1968",United States,"1,350"
Abner Read,Fletcher,destroyer,05 February 1943,Sunk 1 November 1944,United States,"2,050"
Abukuma,Nagara,light cruiser,26 May 1925,Sunk 26 October 1944,Imperial Japanese Navy,"5,088"
Acasta,A,destroyer,11 February 1930,Sunk 8 June 1940,Royal Navy,"1,350"
Acavus,Rapana,merchant aircraft carrier,01 October 1943,Returned to merchant service post-war,Royal Navy,"8,010"
Acciaio,Acciaio,submarine,20 July 1941,torpedoed 13.7.43 by HMS Unruly,Regia Marina,697
Achates,A,destroyer,27 March 1930,Sunk 31 December 1942,Royal Navy,"1,350"
Acheron,A,destroyer,13 October 1931,Sunk 17 December 1940,Royal Navy,"1,350"
Achilles,Leander,light cruiser,06 October 1933,sold to India 1948,Royal Navy,"7,270"
Aconit,Flower,corvette,23 July 1941,Returned to the Royal Navy 30 April 1947,French Navy,925
Acree,Cannon,destroyer escort,19 July 1943,"Decommissioned 1946, scrapped 1973",United States,"1,240"
Action,Flower modified,corvette,22 November 1942,struck on 7 September 1945,United States,"1,015"
Active,A,destroyer,09 February 1930,Scrapped 1947,Royal Navy,"1,350"
Adams,Robert H. Smith,minelayer destroyer,10 October 1944,"Decommissioned 1947, scrapped 1971",United States,"2,200"
Adelaide,Birmingham,light cruiser,05 August 1922,Scrapped 1949,Royal Australian Navy,"5,550"
Admiral Graf Spee,Deutschland,cruiser,06 January 1936,scuttled 17 December 1939,Kriegsmarine,"12,103"
Admiral Hipper,Admiral Hipper,heavy cruiser,25 April 1939,Scuttled 2 May 1945,Kriegsmarine,"14,000"
Admiral Scheer,Deutschland,cruiser,12 November 1934,Sunk 9 April 1945,Kriegsmarine,"12,100"
Admiralty Islands,Casablanca,escort carrier,13 June 1944,Scrapped 1947,United States,"7,800"
Adrias,Hunt,destroyer escort,05 August 1942,"damaged by mine 22 October 1943, scrapped 1945",Hellenic Navy,"1,050"
Adua,Adua,submarine,13 September 1936,"sunk on 30 September 1941, by destroyers HMS Gurkha and HMS Legion, Western Mediterranean sea",Regia Marina,697
Adula,Rapana,merchant aircraft carrier,01 February 1944,Returned to merchant service post-war,Royal Navy,"16,000"
Adventure,,minelayer,04 November 1916,landing repair ship 1944; scrapped 1947,Royal Navy,"6,850"
Aetos,Aetos,destroyer,19 October 1912,Decommissioned 1946,Hellenic Navy,"1,030"
Afridi,Tribal,destroyer,03 May 1938,Sunk 3 May 1940,Royal Navy,"2,020"
Agano,Agano,light cruiser,31 October 1942,Sunk 15 February 1944,Imperial Japanese Navy,"6,650"
Agassiz,Flower,corvette,23 January 1941,paid off 14 June 1945,Royal Canadian Navy,925
Agra,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Ahmedabad,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Ahrens,Buckley,destroyer escort,12 February 1944,"Decommissioned 1946, scrapped 1967",United States,"1,400"
Airedale,Hunt,destroyer escort,08 January 1942,sunk June 1942,Royal Navy,"1,050"
Airone,Spica,torpedo boat,10 May 1938,"Sunk 12 October 1940 in the battle of Cape Passero by British cruiser HMS Ajax. She scored three hits from her main guns on the British cruiser before being disabled; 59 seamen went down with the ship. Ajax herself was hit by seven shells that destroyed one of her whalers, caused severe damage to the bridge and radar installation and 35 casualties, including 13 killed.",Regia Marina,795
Ajax,Leander,light cruiser,03 June 1935,Scrapped 1949,Royal Navy,"7,220"
Akagi,Amagi,aircraft carrier,27 March 1927,Sunk 5 June 1942,Imperial Japanese Navy,"36,500"
Akizuki,Akizuki,destroyer,11 June 1942,Sunk 25 October 1944,Imperial Japanese Navy,"2,700"
Alabama,South Dakota,battleship,16 August 1942,"Decommissioned 9 January 1947,  museum ship",United States,"35,000"
Alabarda,Ariete,torpedo boat,07 May 1944,Sunk 21 March 1945 during Operation Bowler in Venice.,Regia Marina,745
Alabastro,Acciaio,submarine,18 December 1941,bombed 14.9.42 by Allied aircraft,Regia Marina,697
Alacrity,Flower modified,corvette,10 December 1942,"sold to Italy, 1947",United States,"1,015"
Alagi,Adua,submarine,15 November 1936,sold for scrap on 1 February 1948,Regia Marina,697
Alaska,Alaska,battlecruiser,17 June 1944,Scrapped 1960,United States,"27,500"
Albatros,1923 Raubvogel,torpedo boat,05 May 1927,"Ran aground and wrecked, 9 April 1940",Kriegsmarine,"1,290"
Albatross,,seaplane carrier,29 September 1938,"torpedoed 1944, not repaired, scrapped 1954",Royal Navy,"6,350"
Alberico da Barbiano,Giussano,light cruiser,09 June 1931,"Sunk at the Battle of Cape Bon, 13 December 1941",Regia Marina,"6,954"
Alberni,Flower,corvette,04 February 1941,sunk on 21 August 1944 by U-480,Royal Canadian Navy,925
Albert T. Harris,John C. Butler,destroyer escort,29 November 1944,Sunk as target 1969,United States,"1,350"
Albert W. Grant,Fletcher,destroyer,24 November 1943,"Decommissioned 1971, scrapped 1972",United States,"2,050"
Alberto da Giussano,Giussano,light cruiser,01 January 1931,"Sunk at the Battle of Cape Bon, 13 December 1941",Regia Marina,"6,954"
Albrighton,Hunt,destroyer escort,22 February 1942,paid off 6 January 1956,Royal Navy,"1,050"
Alcantara,,armed merchant cruiser,01 January 1927,Scrapped 1958,Royal Navy,"22,181"
Alcione,Spica,torpedo boat,10 May 1938,Sunk 11 December 1941 by submarine HMS Truant.,Regia Marina,795
Aldea,Serrano,destroyer,26 July 1929,Stricken 12 February 1958,Chile,"1,090"
Aldebaran,Spica,torpedo boat,06 December 1936,"Sunk 20 October 1941 in the Saronic Gulf, by mines laid by submarine HMS Rorqual.",Regia Marina,795
Alden,Clemson,destroyer,24 November 1919,Scrapped 30 November 1945,United States,"1,250"
Aldenham,Hunt,destroyer escort,05 February 1942,sunk 14 December 1944,Royal Navy,"1,050"
Alessandro Malaspina,Marconi,submarine,18 February 1940,"sunk on 10 September 1941 by No. 10 Squadron RAAF Short Sunderland ""U"".",Regia Marina,"1,195"
Alexander J. Luke,Buckley,destroyer escort,19 February 1944,"Decommissioned 1947, sunk as target 1970",United States,"1,400"
Alexia,Rapana,merchant aircraft carrier,01 December 1943,Returned to merchant service post-war,Royal Navy,"8,010"
Alfred A. Cunningham,Allen M. Sumner,destroyer,23 November 1944,"Decommissioned 1971, sunk as target 1979",United States,"2,200"
Alfredo Oriani,Oriani,destroyer,15 July 1937,"Transferred to France as war reparations, 8 August 1948",Regia Marina,"1,700"
Alger,Cannon,destroyer escort,12 November 1943,"To Brazil 10 March 1945 as Babitonga, scrapped 1964",United States,"1,240"
Algérie,,heavy cruiser,15 September 1934,scuttled 27 November 1942,French Navy,"10,000"
Algérien,Cannon,destroyer escort,23 January 1944,"to France after war, scrapped November 1965",Free French Naval Forces,"1,240"
Algoma,Flower,corvette,11 July 1941,paid off 6 July 1945,Royal Canadian Navy,925
Algonquin,V,destroyer,28 February 1944,paid off 1 April 1970,Royal Canadian Navy,"2,700"
Aliseo,Ciclone,torpedo boat,20 September 1942,"On 8 September 1943, Aliseo engaged and destroyed several German auxiliary vessels off Bastia, right after the Cassibile armistice. War reparation to the Yugoslav Navy, 1949 as Triglav",Regia Marina,910
Alisma,Flower,corvette,13 February 1941,Sold 1947,Royal Navy,925
Allen M. Sumner,Allen M. Sumner,destroyer,26 January 1944,Scrapped 1974,United States,"2,200"
Almirante Brown,Veinticinco de Mayo,heavy cruiser,18 July 1931,scrapped 1962,Argentina,"6,800"
Almirante Condell,Almirante Lynch,destroyer,01 January 1914,Decommissioned 1945,Chile,"1,430"
Almirante Latorre,Almirante Latorre,battleship,01 August 1920,Scrapped 1959,Chile,"28,550"
Almirante Lynch,Almirante Lynch,destroyer,01 January 1913,Decommissioned 1945,Chile,"1,430"
Almirante Simpson,Capitan O'Brien,submarine,01 January 1929,Decommissioned 1957,Chile,"2,020"
Alpino,Soldati,destroyer,20 April 1939,Lost 19 April 1943 when it was bombed by USAAF aircraft in La Spezia Harbour.,Regia Marina,"1,850"
Alpino Attilio Bagnolini,Liuzzi,submarine,22 December 1939,sunk off the Cape of Good Hope by No. 262 Squadron RAF Consolidated PBY Catalinas on 11 March,Regia Marina,"1,030"
Altair,Spica,torpedo boat,23 December 1936,"Sunk 20 October 1941 in the Saronic Gulf, by mines laid by submarine HMS Rorqual.",Regia Marina,795
Altamaha,Bogue,escort carrier,15 September 1942,Scrapped 1946,United States,"7,900"
Alvin C. Cockrell,John C. Butler,destroyer escort,07 October 1944,Sunk as target 1969,United States,"1,350"
Alvise da Mosto,Navigatori ,destroyer,15 March 1931,"Sunk by HMS Aurora and HMS Penelope near Tripoli, 1 December 1941, while escorting the tanker Iridio Mantovani. There were 138 crew killed and 135 survivors.",Regia Marina,"1,900"
Alysse,Flower,corvette,17 June 1941,torpedoed and sunk on 9 February 1942 in the North Atlantic by the German submarine U-654 while escorting convoy ON-60,French Navy,925
Amagi,Unryū,aircraft carrier,10 August 1944,Sunk 27 July 1945,Imperial Japanese Navy,"17,150"
Amaranthus,Flower,corvette,12 February 1941,Unknown,Royal Navy,925
Amastra,Rapana,merchant aircraft carrier,01 September 1943,Scrapped at La Spezia in June 1955,Royal Navy,"16,000"
Amazon,prototype,destroyer,05 May 1927,Scrapped 25 October 1948,Royal Navy,"1,350"
Ambra,Perla,submarine,4 September 1944,Sunk in Genoa by Allied aircraft,Regia Marina,695
Ambuscade,prototype,destroyer,15 March 1927,Scrapped 1946,Royal Navy,"1,173"
Ameer,Ruler,escort carrier,20 July 1943,"paid off 20 March 1946, scrapped 1969",Royal Navy,"11,400"
Amesbury,Buckley,destroyer escort,31 August 1943,"sold for scrap, sank under tow 1962",United States,"1,400"
Amethyst,Black Swan,sloop,02 November 1943,Scrapped 19 January 1957,Royal Navy,"1,350"
Ametista,Sirena,submarine,26 April 1933,"Scuttled, 12 September 1943",Regia Marina,691
Amherst,Flower,corvette,05 August 1941,paid off 16 July 1945,Royal Canadian Navy,925
Amick,Cannon,destroyer escort,26 July 1943,"To Japan 1955, to Philippines 1976, scrapped 1989",United States,"1,240"
Amiral Murgescu,Amiral Murgescu,minelayer,14 June 1939,"To Romania 1939, to Soviet Union 1944, scrapped 1989",Romania,812
Ammen,Fletcher,destroyer,12 March 1943,Scrapped 1960,United States,"2,050"
Ammiraglio Cagni,Cagni,submarine,1 April 1941,"Surrendered to the Allies in Durban, South Africa September 1943, Broken up 1948",Regia Marina,"1,653"
