Name,Number,Types,Country
Nahuel DL 43,12,Tanks,Argentina
Ñandú ,5,Utility vehicles,Argentina
Sentinel,65,Tanks,Australia
Thunderbolt,1,Tanks,Australia
AC4,1,Tanks,Australia
Dingo,245,Armoured cars,Australia
Rhino,3,Armoured cars,Australia
Rover,238,Armoured cars,Australia
ACG-1,12,Tanks,Belgium
t-13,199,Tanks,Belgium
T-15,42,Tanks,Belgium
Renault FT,75,Tanks,Belgium
FN Tricar,331,Utility vehicles,Belgium
L3/33,14,Tankettes,Bulgaria
Vickers Mk E,8,Tanks,Bulgaria
Renault R35,39,Tanks,Bulgaria
SOMUA S35,6,Tanks,Bulgaria
Hotchkiss H35,19,Tanks,Bulgaria
Panzer 35t,36,Tanks,Bulgaria
Panzer 38t,10,Tanks,Bulgaria
Panzer I,1,Tanks,Bulgaria
Panzer IV,91,Tanks,Bulgaria
T-34,85,Tanks,Bulgaria
"PzKpfw IV H with 76,2mm ZiS-3 Gun Bulgarian modified Panzer IV",NA,Tanks,Bulgaria
Semovente da 47/32,2,Self-propelled guns,Bulgaria
Jagdpanzer IV,NA,Self-propelled guns,Bulgaria
Sturmgeschütz III, 25,Self-propelled guns,Bulgaria
Sturmgeschütz IV,NA,Self-propelled guns,Bulgaria
Leichter Panzerspähwagen,20,Armoured cars,Bulgaria
Sd.Kfz.232 Schwerer Panzerspähwagen ,NA,Armoured cars,Bulgaria
Fiat 626,100,Utility vehicles,Bulgaria
Ursus A,NA,Utility vehicles,Bulgaria
Pavesi P4,NA,Utility vehicles,Bulgaria
TL.37,NA,Utility vehicles,Bulgaria
Stoewer R200 Spezial 40,10,Utility vehicles,Bulgaria
Ram,2993,Tanks,Canada
Grizzly I,188,Tanks,Canada
Valentine,1420,Tanks,Canada
Badger,NA,Tanks,Canada
Sexton,2150,Self-propelled artillery,Canada
C15TA,3960,Armoured personnel carriers,Canada
Kangaroo,NA,Armoured personnel carriers,Canada
Lynx,3255,Armoured cars,Canada
Otter,1761,Armoured cars,Canada
Fox,1506,Armoured cars,Canada
Ford F15,400000,Utility vehicles,Canada
Carden Loyd tankette Mk VI,53,Tankettes,China
L3/33,NA,Tankettes,China
L3/35,NA,Tankettes,China
Renault FT,36,Tanks,China
M4 Sherman,35,Tanks,China
M3 Stuarat,50,Tanks,China
M24 Chaffee - 233,NA,Tanks,China
M18 Hellcat,NA,Tanks,China
Type 95 Ha-Go,NA,Tanks,China
Type 97 Chi-Ha,NA,Tanks,China
Panzer I,10,Tanks,China
Vickers 6-ton,20,Tanks,China
Vickers amphibious tank M1931,29,Tanks,China
British 12-ton tank,NA,Tanks,China
T26 ,88,Tanks,China
BT-5,4,Tanks,China
Marmon-Herrington CTLS,NA,Tanks,China
AMR 35,NA,Tanks,China
T-34,NA,Tanks,China
Dowa,NA,Armoured cars,China
GMC M1931,NA,Armoured cars,China
Leichter Panzerspähwagen,12,Armoured cars,China
"BA-10, BA-20",50,Armoured cars,China
Renault UE Chenillette,10,Armoured cars,China
M8 Light Armor Car,NA,Armoured cars,China
LT vz. 35,434,Tanks,Czechoslovakia
LT vz. 38,1167,Tanks,Czechoslovakia
Tančík vz. 33,70,Tankettes,Czechoslovakia
AH-IV,206,Tankettes,Czechoslovakia
OA vz. 27,15,Armoured cars,Czechoslovakia
OA vz. 30,51,Armoured cars,Czechoslovakia
Armoured Harley Davidson motorcycle,NA,Armoured motorcycle,Denmark
Fiat 3000,1,Tanks,Denmark
FP-4 and FP-5,NA,,Denmark
Landsverk L-180,2,Armoured cars,Denmark
Landsverk L-185,1,Armoured cars,Denmark
Pansarbil m/39 ,3,Armoured cars,Denmark
PV-10 ,5,,Denmark
V3  Holger Danske  armored car,NA,Armoured cars,Denmark
Renault FT,NA,Tanks,Finland
Vickers Mark E ,26,Tanks,Finland
BT-5 and BT-7,NA,Tanks,Finland
T-26,NA,Tanks,Finland
T-28,NA,Tanks,Finland
T-34,NA,Tanks,Finland
KV-1,NA,Tanks,Finland
Panzer IV,NA,Tanks,Finland
BT-42 ,18,Assault guns,Finland
Sturmgeschütz III ,59,Assault guns,Finland
AMR 33 ,123,Tanks,France
AMR 35 ,200,Tanks,France
AMC 34 ,12,Tanks,France
AMC 35 ,57,Tanks,France
Renault R35 ,1601,Tanks,France
Hotchkiss H35 ,1100,Tanks,France
FCM 36 ,100,Tanks,France
Char D1 ,160,Tanks,France
Renault R40 ,130,Tanks,France
Renault FT ,1580,Tanks,France
AMX 38 ,NA,Tanks,France
Somua S-35 ,430,Tanks,France
Char D2 ,100,Tanks,France
Char B1 ,405,Tanks,France
FCM 2C ,10,Tanks,France
FCM F1 ,1,Tanks,France
Laffly W15 TCC ,70,Tanks destroyers,France
AMR 35 Renault ZT2 ,10,Tanks destroyers,France
AMR 35 Renault ZT3 ,10,Tanks destroyers,France
Somua S40,NA,Tanks destroyers,France
Canon de 194 mle GPF ,50,Self-propelled guns,France
Renault FT BS ,39,Self-propelled guns,France
105 leFH18B2 ,16,Self-propelled guns,France
