wiki_operational_aircraft
"Name of aircraft
","Yearin service
","Country of origin
","Operator(s)if different from country of origin
","Categories
","Number Built
"
Avia B-534,1935,Czechoslovakia,"Czechoslovakia, Bulgaria, Nazi Germany, Greece, Slovakia
",Fighter,
Avia BH-33,1927,Czechoslovakia,"Yugoslavia
",Fighter,
Armstrong Whitworth Scimitar,1936,UK,"Norway
",Fighter,
Blériot-SPAD S.510,1936,France,,Fighter,
Boeing P-12,1930,US,"Brazil, China, Philippines, Thailand
",Fighter,
Bristol Bulldog,1929,UK,"Denmark, Finland
",Fighter,
Curtiss Hawk II,1932,US,"China
",Fighter,
Curtiss Hawk III,1933,US,"China, Thailand
",Fighter,
Fiat CR.30,1932,Italy,"Austria, China, Nazi Germany, Hungary, Italy
",Fighter,
Fiat CR.32,1934,Italy,"Italy, Hungary, China
",Fighter,
Fiat CR.42,1939,Italy,"Italy, Belgium, Croatia, Nazi Germany, Hungary
",Fighter,
Gloster Gamecock II/Kukko,1925,UK,"Finland
",Fighter,
Gloster Gauntlet,1935,UK,"UK, Denmark, Finland
",Fighter,
Gloster Gladiator/Sea Gladiator,1937,UK,"UK, Belgium, Finland, Greece, Iraq, Norway
",Fighter,
Grumman Goblin,1933,US,"Canada
",Fighter,
Grumman F3F carrier fighter,1936,US,,Fighter,
Hawker Demon,1931,UK,"UK, Australia
",Fighter,
Hawker Fury,1931,UK,"Yugoslavia, South Africa
",Fighter,
Hawker Nimrod carrier fighter,1933,UK,"Denmark
",Fighter,
Heinkel He 51,1935,Nazi Germany,"Nazi Germany, Bulgaria
",Fighter,
IMAM Ro.44 floatplane fighter,1937,Italy,,Fighter,
Kawasaki Ki-10,1935,Japan,,Fighter,
Kochyerigin DI-6,1934,USSR,,Fighter,
Koolhoven F.K.52,1939,Netherlands,"Netherlands, Finland
",Fighter,
Polikarpov I-5,1931,USSR,,Fighter,
Polikarpov I-15 & I-15bis,1934,USSR,"USSR, China, Finland
",Fighter,
Polikarpov I-153,1939,USSR,"USSR, China, Finland
",Fighter,
Ambrosini SAI.207,1942,Italy,,Fighter,
Ansaldo A.120,1925,Italy,"Italy, Lithuania
",Fighter,
Arsenal VG-33,1940,France,,Fighter,
Avia B-135,1941,Czechoslovakia,"Czechoslovakia, Bulgaria
",Fighter,
Bell P-39 Airacobra,1941,US,"US, Australia, France, UK, USSR
",Fighter,
Bell P-63 Kingcobra,1942,US,"US, USSR
",Fighter,
Bloch MB.150–157,1940,France,"France, Greece, Romania
",Fighter,
Boeing P-26 Peashooter,1933,US,"US, China, Philippines
",Fighter,
Breda Ba.27,1933,Italy,"China
",Fighter,
Brewster F2A Buffalo,1939,US,"US, Australia, Finland, Netherlands, New Zealand, UK
",Fighter,
CAC Boomerang,1943,Australia,,Fighter,
Caudron C.714,1940,France,"France, Finland, Poland
",Fighter,
Curtiss P-36 Hawk/Mohawk,1938,US,"US, Brazil, Finland, France, Netherlands, Norway, Thailand, UK
",Fighter,
Curtiss P-40 Warhawk/Tomahawk/Kittyhawk,1939,US,"US, Australia, Brazil, Canada, China, Finland, New Zealand, South Africa, UK, USSR
",Fighter,
Curtiss-Wright CW-21 Demon,1939,US,"China, Netherlands
",Fighter,
Dewoitine D.500/D.510,1935,France,"France, China
",Fighter,
Dewoitine D.520,1940,France,"France, Bulgaria, Italy
",Fighter,
Fiat G.50,1938,Italy,"Italy, Finland, Croatia
",Fighter,
Fiat G.55,1943,Italy,,Fighter,
Focke-Wulf Fw 190,1941,Nazi Germany,"Nazi Germany, Hungary, Romania
",Fighter,
Focke-Wulf Ta 152,1945,Nazi Germany,,Fighter,
Fokker D.XXI,1936,Netherlands,"Netherlands, Denmark, Finland
",Fighter,
Grumman F4F/FM Wildcat/Martlet,1940,US,"US, UK
",Fighter,
Grumman F6F Hellcat/Gannet,1943,US,"US, UK
",Fighter,
Grumman F8F Bearcat,1945,US,,Fighter,
Hawker Hurricane/Sea Hurricane,1937,UK,"UK, Belgium, Canada, Finland, France, Greece, India, New Zealand, USSR
",Fighter,
Hawker Tempest,1944,UK,"UK, New Zealand
",Fighter,
Hawker Typhoon,1940,UK,"UK, Canada, New Zealand
",Fighter,
Heinkel He 112,1937,Nazi Germany,"Nazi Germany, Hungary, Romania
",Fighter,
IAR 80/IAR 81,1941,Romania,,Fighter,
Ikarus IK-2,1935,Yugoslavia,"Yugoslavia, Croatia
",Fighter,
Kawanishi N1K/N1K-J,1943,Japan,,Fighter,
Kawasaki Ki-61,1942,Japan,,Fighter,
Kawasaki Ki-100,1945,Japan,,Fighter,
Koolhoven F.K.58,1940,Netherlands,"Netherlands, France
",Fighter,
Lavochkin-Gorbunov-Gudkov LaGG-1,1940,USSR,,Fighter,
Lavochkin-Gorbunov-Gudkov LaGG-3,1941,USSR,"USSR, Finland
",Fighter,
Lavochkin La-5,1942,USSR,,Fighter,
Lavochkin La-7,1944,USSR,,Fighter,
Loire 46,1936,France,,Fighter,
Macchi C.200,1939,Italy,,Fighter,
Macchi C.202,1941,Italy,"Italy, Croatia, Nazi Germany
",Fighter,
Macchi C.205,1943,Italy,"Italy, Croatia, Nazi Germany
",Fighter,
MÁVAG Héja,1941,Hungary,,Fighter,
Messerschmitt Bf 109,1937,Nazi Germany,"Nazi Germany, Bulgaria, Finland, Hungary, Italy, Romania, Yugoslavia
",Fighter,
Mikoyan-Gurevich MiG-1,1940,USSR,,Fighter,
Mikoyan-Gurevich MiG-3,1941,USSR,,Fighter,
Mitsubishi A5M,1936,Japan,,Fighter,
Mitsubishi A6M Zero,1940,Japan,,Fighter,
Mitsubishi J2M,1942,Japan,,Fighter,
Morane-Saulnier M.S.406,1939,France,"France, Croatia, Finland, Italy, Poland
",Fighter,
Nakajima A6M2-N floatplane fighter,1942,Japan,,Fighter,
Nakajima Ki-27,1937,Japan,"Japan, Manchukuo, Thailand
",Fighter,
Nakajima Ki-43,1941,Japan,"Japan, Manchukuo, Thailand
",Fighter,
Nakajima Ki-44,1942,Japan,,Fighter,
Nakajima Ki-84,1943,Japan,,Fighter,
North American P-51 Mustang,1942,US,"US, Australia, Canada, China, France, South Africa, UK, USSR
",Fighter,
